,,,,,,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,,
Publication,sample size,females,males,"Rearing (nursery, mother)",age (weeks),orientation,orientation,Motor,Motor,Neuromotor,Neuromotor,Temperament,Temperament,,
"Ausderau et al, 2022, Viruses",4,2,2,mother,2,1.39,0.2,1.31,0.1,1.29,0.11,1.18,0.23,,
"Ausderau et al, 2022, Viruses",4,2,2,mother,3,1.33,0.25,1.31,0.17,1.18,0.06,1.08,0.21,,
"Ausderau et al, 2022, Viruses",4,2,2,mother,4,1.61,0.13,1.53,0.12,1.13,0.08,0.86,0.23,,
"Scheider & Suomi 1992, Inf Behav Dev",36,14,22,nursery,2,1.15,0.11,1.31,0.078,1.34,0.08,0.69,0.09,,
"Scheider & Suomi 1992, Inf Behav Dev",36,14,22,nursery,3,1.15,0.23,1.29,0.09,1.4,0.07,0.68,0.07,,
"Scheider & Suomi 1992, Inf Behav Dev",36,14,22,nursery,4,1.19,0.19,1.37,0.08,1.46,0.08,0.79,0.08,,
ACE project - unpublished data,17,0,17,mother,2,1.77,0.08,0.71,0.11,1.39,0.05,1.05,0.04,,
ACE project - unpublished data,17,0,17,mother,3,1.74,0.1,0.99,0.2,1.38,0.04,1.06,0.05,,
ACE project - unpublished data,17,0,17,mother,4,1.61,0.1,1.51,0.16,1.29,0.07,1.06,0.05,,
