Animal ID,Pub #,"Sex (0=f, 1=m)","Treatment Group (0=UIC, 1=PIC, 2=Zika)",Total Hippocampus (mm3),Total Amygdala (mm3),Total Intracranial Vol (mm3),Total Brain Vol (mm3),Total CSF volume (mm3),Lateral Ventricle (mm3),RT Temporal Auditory (GM+WM),RT Temporal Visual  (GM+WM),RT Temporal Limbic (GM+WM),RT Occipital (GM+WM),LT Temporal Auditory (GM+WM),LT Temporal Visual  (GM+WM),LT Temporal Limbic (GM+WM),LT Occipital (GM+WM)
a,1,1,2,454.701,439.986,78902.066,71724.05,7090.55,327.752,2314.665,4057.807,1057.093,6259.89,2324.575,4070.436,958.611,6187.67
b,2,1,2,401.567,391.227,81709.517,71034.95,10418.3,241.696,2349.201,4418.18,1028.584,5947.44,2499.177,4386.73,971.69,6087.63
c,3,0,2,399.115,343.161,77441.312,65534.242,10903.3,149.8162,2167.661,4117.031,925.076,6155.08,2288.381,4134.854,907.5421,6146.92
d,4,0,2,371.649,353.113,77186.3,66964.84,10007.7,236.751,2153.832,3917.822,905.232,5447.08,2197.334,3940.262,852.4665,5900.05
e,5,0,2,441.887,399.38,80180.909,68152.099,10987.6,256.676,2275.277,3973.794,1015.587,6317.66,2350.995,3931.373,934.782,6312.9
f,6,0,2,439.17,377.146,77332.113,65984.367,10357.5,218.011,2094.996,4143.167,988.734,6477.92,2184.099,4197.8,954.586,6497.31
g,7,1,2,404.674,326.588,80591.947,69099.327,10483.7,179.0397,2469.816,4323.746,960.492,6394.44,2517.02,4239.258,881.853,6340.39
h,8,1,2,512.637,398.543,96928.814,83659.884,12049.8,284.285,2926.21,5151.03,1142.126,8392.52,3055.997,5112.64,1085.315,8304.57
i,9,1,2,474.769,400.361,97750.691,86837.631,9545.18,174.7072,2972.473,5205.78,1212.712,8166.33,3093.541,5257.61,1132.46,7924.57
j,10,0,2,403.488,348.475,83696.606,72475.126,10178.1,177.5069,2469.378,4507.687,988.857,6707.11,2533.894,4515.74,894.871,6870.7
k,11,0,2,363.474,327.65,80503.64,71113.14,8368.15,238.488,2585.912,4672.115,895.77,6449.86,2688.392,4539.282,867.426,6519.06
l,12,1,2,504.85,409.618,90210.882,77559.962,11426.6,238.079,2829.08,5071.45,1153.734,7327.22,2905.98,5020.01,1082.249,7257.92
m,13,1,0,402.854,326.791,76477.122,69287.87,7074.3,203.2976,2242.567,4026.609,975.635,6361.56,2306.221,4070.64,933.128,6186.23
n,14,1,0,413.604,344.674,74057.461,63708.981,9326.66,207.0985,1995.965,3855.64,971.752,5191.29,2100.21,3936.908,882.732,5169.83
o,15,1,0,404.612,312.364,76735.688,69905.714,6709.32,175.586,2407.395,4534.931,982.827,6752.7,2514.977,4528.39,861.561,6726.81
p,16,0,0,394.844,335.15,75529.871,68509.208,6917.4,224.919,2237.471,3937.074,1003.672,5991.32,2286.19,3969.508,891.3158,5924.48
q,17,0,0,383.4,337.889,73684.0808,67263.97,6340.39,345.45,2124.035,4129.004,904.742,6015.89,2261.857,4012.912,872.147,6216.48
r,18,0,0,421.022,361.452,74205.802,67025.27,7066.07,278.931,2207.15,4141.05,986.772,6236.62,2221.613,4198.554,939.545,6437.19
s,19,1,1,327.486,315.511,64637.19,58118.38,6413.36,236.649,1922.388,3531.71,813.761,5089.62,1973.336,3460.342,759.3605,5016.54
t,20,0,1,381.866,328.712,76996.071,68890.77,8004,221.485,2266.761,4200.534,966.295,6709.91,2384.775,4228.922,906.0295,6686.55
u,21,0,1,431.138,333.74,76625.502,69197.27,7321.29,324.523,2381.92,4145.109,1017.385,6712.83,2503.96,4148.588,981.479,6651.77
v,22,0,1,405.94,331.717,72957.199,66394.96,6461.02,308.931,2135.542,4035.6,976.513,6536.61,2257.049,4024.437,932.8,6688.96
w,23,1,1,374.612,322.377,72608.9166,66371.75,6146.39,164.7957,2210.294,4011.706,892.174,6055.1,2299.706,3990.251,864.503,5917.39
x,24,1,1,418.161,333.761,80798.253,73043.55,7652.85,262.949,2473.592,4815.599,971.363,6979.47,2566.09,4999.41,915.552,6754.81
